PERIOD_BEGIN,MEDIAN_SALE_PRICE,MEDIAN_DOM,AVG_SALE_TO_LIST,INVENTORY,HOMES_SOLD,MONTHS_OF_SUPPLY,SOLD_ABOVE_LIST
2021-05-01,303800,12,1.022454407,2902,2037,1.4,0.5076092293
2021-06-01,310200,10,1.0300812,3405,2490,1.4,0.5578313253
2021-07-01,305100,9,1.026339353,3773,2471,1.5,0.5471469041
2021-08-01,304700,9,1.017572357,3670,2516,1.5,0.5087440382
2021-09-01,308900,12,1.005333906,3461,2558,1.4,0.4554339328
2021-10-01,311200,14,1.00397895,3068,2557,1.2,0.4309737974
2021-11-01,297000,15,1.001620052,2568,2218,1.2,0.4409377818
2021-12-01,296300,16,0.9996112247,2092,2154,1,0.4280408542
2022-01-01,298700,17,0.999781226,1836,1448,1.3,0.4060773481
2022-02-01,295600,19,1.002339111,1785,1095,1.6,0.4191780822
2022-03-01,318100,16,1.024683765,1875,1344,1.4,0.5052083333
2022-04-01,335000,11,1.0341462,2265,1520,1.5,0.5539473684
2022-05-01,343500,10,1.040309437,3069,1793,1.7,0.5789180145
2022-06-01,363700,10,1.037885122,3968,2197,1.8,0.5794264907
2022-07-01,339900,16,1.024020107,4381,2095,2.1,0.5355608592
2022-08-01,341000,21,1.008629195,4294,2309,1.9,0.4525768731
2022-09-01,334100,28,0.9971999786,4163,2323,1.8,0.3990529488
2022-10-01,333100,31,0.9891610453,3696,1997,1.9,0.3760640961
2022-11-01,313300,34,0.9835392573,3308,1621,2,0.3429981493
2022-12-01,318900,33,0.9809963519,2785,1408,2,0.3316761364
2023-01-01,317400,42,0.9778713651,2399,973,2.5,0.2569373073
2023-02-01,324600,43,0.9843930379,2281,896,2.5,0.3370535714
2023-03-01,327600,36,0.9918926545,2289,1105,2.1,0.3547511312
2023-04-01,368100,27,1.003961939,2453,1073,2.3,0.4147250699
2023-05-01,360200,25,1.015332065,2879,1476,2,0.4640921409
2023-06-01,373300,19,1.019840495,3175,1840,1.7,0.4961956522
2023-07-01,371000,20,1.01688235,3483,1687,2.1,0.4997036159
2023-08-01,368900,23,1.007503075,3793,1897,2,0.4559831313
2023-09-01,372400,27,0.9992913864,3912,1819,2.2,0.4128642111
2023-10-01,380600,30,0.9917958448,3730,1816,2.1,0.3755506608
2023-11-01,358000,30,0.9933144328,3457,1548,2.2,0.3675710594
2023-12-01,349200,39,0.9851978493,2961,1307,2.3,0.3198163734
2024-01-01,359300,50,0.9778751792,2776,970,2.9,0.2659793814
2024-02-01,343900,52,0.9828211284,2728,1028,2.7,0.2898832685
2024-03-01,378000,36,0.9907462478,2784,1158,2.4,0.3497409326
2024-04-01,370800,34,0.9932818451,3079,1240,2.5,0.3685483871
2024-05-01,393100,31,0.9986622468,3793,1559,2.4,0.3880692752
2024-06-01,407000,26,1.004270728,4451,1683,2.6,0.4426619133
2024-07-01,404700,29,0.996271708,4777,1831,2.6,0.4019661387
2024-08-01,396400,33,0.9897643828,5082,1952,2.6,0.3463114754
2024-09-01,396800,36,0.9851546311,5075,1893,2.7,0.3206550449
2024-10-01,390900,39,0.9808902736,4899,1868,2.6,0.2944325482
2024-11-01,377200,42,0.9802391933,4389,1650,2.7,0.2963636364
2024-12-01,391400,46,0.9764913844,3609,1526,2.4,0.253604194
2025-01-01,391600,61,0.9710981308,3333,1121,3,0.2105263158
2025-02-01,367400,60,0.9747983308,3225,960,3.4,0.24375
2025-03-01,363900,48,0.9811202691,3465,1117,3.1,0.3034914951
2025-04-01,402400,46,0.9884515983,4049,1283,3.2,0.3211223694
2025-05-01,402900,31,0.9942502199,4989,1669,3,0.3768723787
2025-06-01,416500,31,0.9923200597,5703,1860,3.1,0.3666666667
2025-07-01,416700,36,0.9896953113,6046,1967,3.1,0.3319776309
2025-08-01,418300,40,0.982717409,6247,2103,3,0.2886352829
2025-09-01,396000,42,0.9787283293,6304,1996,3.2,0.2735470942
2025-10-01,426800,47,0.9784587016,6135,2107,2.9,0.2700522069
2025-11-01,397100,50,0.9770601498,5483,1455,3.8,0.2316151203
2025-12-01,387500,54,0.9724323872,4715,1693,2.8,0.2167749557
2026-01-01,382900,60,0.9698592641,4428,967,4.6,0.2171664943
2026-02-01,372300,65,0.9667889354,4122,915,4.5,0.2174863388
